id(u1),id(u2)
105,29293
109,5707
110,31726
112,25828
112,25828
112,25828
112,25828
112,25828
117,12381
117,20324
117,23391
117,23535
117,12381
117,23391
118,30259
118,28070
119,11196
119,11914
119,11062
119,32513
120,13843
123,12000
125,15020
125,15020
125,22669
128,11833
129,17032
132,2928
133,4877
134,31897
136,15133
136,15133
139,20154
139,16792
139,16792
139,16792
139,16792
139,16792
139,16792
142,2851
144,9501
144,27839
144,26425
144,11655
144,9501
144,9501
144,9501
146,15034
146,15034
146,6888
146,15034
147,19861
149,24891
152,15375
153,8366
155,27049
155,27049
155,27049
156,10695
156,29844
156,29844
158,4588
159,22847
159,4302
159,29240
159,4302
159,21162
159,29106
159,29106
160,22062
160,22062
160,22062
162,11795
162,11710
162,30493
162,8920
162,11795
162,11795
162,11795
163,9294
163,8929
163,8929
164,8060
164,27914
164,27914
164,27914
164,27914
164,27914
164,27914
164,27914
164,27914
164,27914
164,27914
164,27914
164,27914
164,27914
164,27914
164,27914
164,27914
164,27914
164,27914
164,27914
164,8060
164,8060
164,27914
164,27914
164,27914
164,27914
164,27914
165,9513
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,9513
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,9513
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
165,8311
166,25552
166,6457
166,11887
166,6457
166,11887
168,29496
168,29496
168,29496
169,1790
169,1790
170,14578
170,14578
170,26132
170,26132
170,14578
170,14578
170,26132
170,14578
170,26132
170,26132
170,14578
170,14578
170,14578
170,14578
171,10212
172,11547
172,11547
172,11547
172,11547
172,11547
172,11547
172,11547
172,11547
172,11547
172,11547
172,11547
172,11547
172,11547
172,11547
172,11547
172,11547
172,11547
174,29950
174,29460
174,29460
174,29460
174,29460
174,29460
174,29950
174,29460
174,29950
174,29950
174,29460
174,29460
174,29460
174,29460
174,29460
174,29460
174,29460
174,29460
174,29460
175,11925
175,29453
175,29453
175,29453
175,6751
175,29453
175,4980
175,29453
175,5554
175,9111
175,1075
175,18538
175,9284
175,29453
175,9111
175,32920
175,29453
175,29453
175,29453
175,9111
175,29453
175,29453
175,9111
175,29453
175,990
175,26431
175,9111
175,18733
175,9250
175,27864
175,18733
175,9111
175,29453
175,19030
175,26431
175,9111
175,20908
175,29453
175,29453
175,29453
175,29453
175,29380
175,9111
175,29453
175,29453
175,29453
175,29453
175,9111
176,26398
176,26398
176,26398
176,26398
176,26398
178,9737
179,7606
179,7606
180,11646
180,11646
180,11646
180,515
180,11646
180,8989
180,66
180,28774
180,8989
180,66
181,11641
181,11641
181,11641
181,11641
181,11641
181,11641
181,11641
181,11641
181,11641
181,11641
181,11641
181,11641
181,11641
181,11641
181,11641
181,11641
182,6593
182,7769
182,7769
184,26842
185,11615
185,11615
185,11615
186,26444
186,26444
187,27099
187,27099
188,26300
188,27865
188,27865
188,27865
188,27865
188,27865
188,27865
188,27865
188,27865
188,4458
188,27865
188,27865
188,27865
188,27865
188,27865
188,27865
188,26300
188,27865
188,27865
188,27865
188,27865
188,4889
188,27865
188,27865
188,27865
188,4458
188,27865
188,27865
188,10314
188,27865
188,28257
188,27865
188,27865
188,26300
188,11948
188,27865
188,27865
188,27865
188,27865
188,27865
188,27865
188,10314
188,4458
188,27865
188,27865
189,11827
189,11827
189,11827
189,11827
189,11827
189,11827
189,11827
189,11827
189,11827
189,11827
189,11827
189,11827
189,11827
189,11827
190,16787
191,33187
191,29887
197,7386
197,31047
197,15019
197,3496
199,30848
200,1032
200,1032
201,21243
201,21227
203,8911
203,8911
203,8911
203,8911
203,8911
204,102
205,7978
209,11057
210,1909
210,10976
210,10976
211,20834
212,28415
212,28415
212,28415
212,28415
212,10340
212,28415
212,10340
212,10340
212,10340
212,10340
213,8838
213,25797
213,8838
213,2972
213,29641
213,2972
213,29641
